Pml Driver HPZ12;17;2.53
lxdu_device;2;3.5
Fabs;19;1.68
EhttpSrv;14;3.93
AgereModemAudio;10;3.3
GDFwSvc;25;4.72
AOL ACS;6;2.17
MDM;11;1.55
tsusbhub;140;1.37
PDAgent;23;4.87
AppBoosterService;2;4
ASO3DiskOptimizer;7;2.71
cjpcsc;9;4.44
LogMeIn;11;4.91
LightScribeService;21;3.29
AcPrfMgrSvc;2;5
Application Updater;18;2.56
gusvc;59;2.51
TuneUp.ProgramStatisticsSvc;3;1.67
wltrysvc;7;4.14
WatAdminSvc;25;2
AGCoreService;1;3
MSK80Service;6;3.33
AntiVirFirewallService;18;4.22
STacSV;18;3.5
SBSDWSCService;4;4.5
MemeoBackgroundService;4;4
McAfee SiteAdvisor Service;12;3.33
LBTServ;16;3.38
USBSafelyRemoveService;24;4.63
AcronisOSSReinstallSvc;7;3
ChamClock Set Time Service for Vista;3;4.67
Automatic LiveUpdate Scheduler;2;5
ATKGFNEXSrv;9;4.44
x10nets;6;2.17
SBPIMSvc;3;1.67
hpqwmiex;17;2.65
stllssvr;2;1.5
Beep;6;1.17
ASDR;3;4.33
UNS;11;4.27
nTuneService;3;4.33
Browser Defender Update Service;3;4
ABBYY.Licensing.FineReader.Professional.10.0;15;2.73
LIVESRV;1;5
RichVideo;17;2.53
scan;7;2
NetMsmqActivator;44;2.48
nSvcIp;4;3.5
ACDaemon;19;1.95
RapiMgr;7;3.86
ePowerSvc;33;3.03
ASLDRService;8;3
NetTcpActivator;26;2.77
StarWindServiceAE;8;2.63
Crypkey License;6;1.83
SQLBrowser;6;3.83
SQLAgent$SQLEXPRESS;7;3
ftpsvc;7;3.86
AdobeActiveFileMonitor7.0;1;1
UleadBurningHelper;7;1.71
CachemanService;13;3.85
AshampooDefragService;3;4.33
IviRegMgr;4;2.5
PowerManager;2;1
PSI_SVC_2;15;2.8
ABBYY.Licensing.FineReader.Professional.9.0;6;3.5
SysEnforce;1;-1
Nero BackItUp Scheduler 3;3;2.33
asc3350p;1;5
aic78u2;1;-1
SHDSERV;3;5
GoToMyPC;1;5
NMSAccessU;1;1
DicterUpdateService;2;2.5
Radio.fx;12;2.92
vsmon;12;4.83
avg8emc;1;3
gupdate;148;2.03
ANIWZCSdService;2;2
Adobe LM Service;7;2.57
Guard.Mail.ru;32;1.56
FSMA;11;4.91
avast! Firewall;74;4.74
ThreatFire;9;4.22
VMUSBArbService;10;3.8
Steam Client Service;81;4.2
IISADMIN;8;4.38
VideoAcceleratorService;7;3.71
PnkBstrB;8;4.5
TemproMonitoringService;3;2.67
ABBYY.Licensing.FineReader.ScreenshotReader.9.0;9;4.89
IBMPMSVC;3;3
IAStorDataMgrSvc;24;4.04
mi-raysat_3dsmax2010_32;1;1
FsUsbExService;5;2.4
LMS;14;4.07
CacheBoost Service;1;5
DrWebEngine;15;4.13
DUMeterSvc;7;4.57
Asset Management Daemon;1;1
WcesComm;4;2.75
ATKKeyboardService;1;1
Autodesk Licensing Service;4;2.5
WAS;22;3.64
TeamViewer5;4;4.25
SOHCImp;1;2
acthelper;9;4.78
ZhuDongFangYu;7;1.71
NAV;6;5
NwSapAgent;4;3.25
CLPSLS;3;3
SeaPort;13;2.15
clr_optimization_v4.0.21006_32;1;1
osppsvc;23;3
MySecurityCenter License Service;1;1
NTI IScheduleSvc;3;2.67
SmcService;9;5
TDslMgrService;7;4.43
Aha154x;1;-1
CSObjectsSrv;6;1
acssrv;28;4.71
MDES;5;1
OS Selector;11;3.82
SNMP;10;3
Power Manager DBC Service;2;3.5
BlueSoleilCS;9;2.11
SSHNAS;1;1
CarboniteService;4;4.75
HsfXAudioService;4;2.25
TunngleService;6;4.33
Adobe Version Cue CS3;2;1
aswUpdSv;3;4.33
MySQL;12;3.33
Thpsrv;2;5
PCToolsFirewallPlus;4;4.5
2GISUpdateService;43;3.37
CGVPNCliSrvc;12;4.33
StarMoney 7.0 OnlineUpdate;4;4
IAANTMON;10;2.6
ServiceLayer;7;1.86
Net Driver HPZ12;13;3.46
DCPP2Svc;1;5
Winstep Xtreme Service;8;4.75
GameConsoleService;4;-0
Com4QLBEx;5;1
CLCapSvc;1;1
ActiveSMART Service;1;5
cvhsvc;6;4
NWCWorkstation;7;2.71
lxcz_device;1;3
NBService;4;2
IS360service;5;3
gupdate1c998b4bd91bd30;1;1
TomTomHOMEService;19;1.95
C-DillaCdaC11BA;1;1
VRAID Log Service;1;2
Greg_Service;4;1.75
hpsrv;13;2.85
vsserv;32;4.22
ImmunetProtect;3;3
DpHost;7;5
ICQ Service;4;1.75
hpqwmi;1;3
AVKProxy;25;4.6
OODefragAgent;61;4.57
DES2 Service;7;2.71
UpdateCenterService;4;3
ioloSystemService;12;3.58
360rp;14;4
BlueSoleil Hid Service;4;2.75
Recovery Service for Windows;4;3
WPFFontCache_v0400;12;2.08
kaccore;1;1
SentinelKeysServer;1;3
ABBYY.Licensing.FineReader.Sprint.9.0;20;3.55
HPSLPSVC;16;2.94
AfaService;1;3
FirebirdServerMAGIXInstance;7;2.14
AVerRemote;6;4.17
AddFiltr;1;1
CA_LIC_SRVR;1;1
McShield;5;3
EBOOSTRSVC;14;4.64
Active@ Disk Monitor;1;4
Kodak AiO Network Discovery Service;2;3
p2pgasvc;3;2
adfs;1;3
AntUpdaterService;2;4.5
aswTdi;2;3
de_serv;3;5
NanoServiceMain;20;4.75
ASWLSVC;1;4
WLANKEEPER;2;2.5
Apache2.2;8;4.13
NetPipeActivator;27;1.85
GPAdjustTimeService;1;5
prio_svc;8;4.88
hasplms;4;2.25
MatSvc;10;2.4
AVKWCtl;29;4.9
PLFlash DeviceIoControl Service;4;2
RelevantKnowledge;4;1
MZCCntrl;1;1
ndassvc;3;4.67
TabletServicePen;4;3.75
PuranDefrag;6;4.5
spupdsvc;1;2
uCamMonitor;2;3.5
SBAMSvc;13;3.92
NIS;51;4.47
FSDFWD;11;4.36
ioloFileInfoList;1;3
OMSI download service;1;3
winvnc;3;4.67
EvtEng;8;2.5
DrWebFwSvc;12;4.58
LoviVkontakteService;2;1
nlsvc;12;4.67
NMIndexingService;4;2
BCUService;1;1
SPAMfighter Update Service;5;4.2
wwEngineSvc;1;5
sftlist;7;4.29
Acer HomeMedia Connect Service;1;5
CFSvcs;2;2.5
WDSmartWareBackgroundService;1;4
SfCtlCom;1;5
TmPfw;2;3
TmProxy;1;3
TMBMServer;1;5
clr_optimization_v4.0.30319_64;39;3.36
HoudiniLicenseServer;1;5
Aavmker4;1;2
GoogleDesktopManager-051210-111108;3;3
nlsX86cc;12;2.33
hpqddsvc;9;2.56
AdobeActiveFileMonitor8.0;1;1
ANSYS, Inc. License Manager;1;5
ES lite Service;1;4
Microsoft Office Groove Audit Service;16;1.81
szserver;3;4.33
ODDPwrSvc;1;3
sdAuxService;5;4
sdCoreService;5;4
JMB36X;1;1
TurboBoost;14;4.43
PavPrSrv;3;5
HssWd;5;2.2
McNaiAnn;4;4.5
GDTunerSvc;7;4
HDD Observer Service;2;2
SwOffWeb;3;4
AFBAgent;9;3.11
BsScanner;4;4.5
APC UPS Service;12;4.42
bgsvcgen;1;5
libusbd;1;1
WMDM PMSP Service;1;4
mcmscsvc;6;3
InCDsrv;2;1
mfevtp;42;1.48
AppleOSSMgr;2;5
c2wts;3;3.33
sftvsa;7;3.71
VoddlerNet;1;4
LinksysUpdater;1;1
DockLoginService;3;3.67
EmmaUpdMgmtSvc;1;1
rpcnet;2;1.5
FinePrint ????????? v6;1;4
klnagent;1;4
appdrvrem01;2;3
XAudioService;3;2.33
AVKService;16;4.81
.1268239722;1;1
BWMeterConSvc;1;5
S24EventMonitor;5;3
KEN Client Service;1;5
QQPCRTP;21;3
BOT4Service;4;2.75
ABBYY.Licensing.Lingvo.Desktop.14.0;3;2.33
O&O CleverCache;19;4.74
Sony Ericsson PCCompanion;6;3.83
VcmXmlIfHelper;1;2
tuEaglesService;1;3
NIHardwareService;3;5
BsMobileCS;3;1.67
SentinelProtectionServer;1;3
RS_Service;1;3
ANIWConnService;1;5
LVSrvLauncher;1;-1
MSMQ;10;2.9
FSORSPClient;11;4.82
PMBDeviceInfoProvider;4;2
SLService;1;3
TODDSrv;1;5
UserAccess7;1;1
PlugPlay;1;5
ForceWare Intelligent Application Manager (IAM);4;4.5
Updater Service;3;4.67
MpfService;2;2.5
RoxMediaDB9;2;2
InterBaseServer;1;3
SQLWriter;10;4.4
ABBYY.Licensing.PDFTransformer.Classic.3.0;4;3.75
CachemanXPService;2;4.5
FolderSize;5;4.8
MSMQTriggers;5;2.4
nosGetPlusHelper;1;1
EPSON_EB_RPCV4_01;3;4
RegSrvc;7;2.86
sp_rssrv;3;3.33
AMD_RAIDXpert;4;4.25
PCLEPCI;1;1
KMWDSERVICE;5;4.8
FreeAgentGoNext Service;2;5
S3D Service (Win64);1;1
FLEXnet Licensing Service 64;6;3.17
WTService;2;1
EPSON_PM_RPCV4_01;4;3.5
CPMService;9;4.56
PrismXL;1;1
ezSharedSvc;12;1.58
MSFtpsvc;1;1
GenieTimelineService;7;4.57
TelevisionFanaticService;1;1
DynDNS Updater;2;5
IJPLMSVC;14;3.86
GPSearchAssistant;1;1
LMIGuardianSvc;4;2
eRecoveryService;1;3
MSSQLServerADHelper;3;3
lxbk_device;1;3
spmgr;1;5
ONDA Autorun CDROM Monitor;1;2
{08CECC71-A9B1-417d-AB3A-C57C4F854F53}365943146;1;3
lxddCATSCustConnectService;1;3
AVG Security Toolbar Service;8;4.38
ACS;3;4
AsusService;3;3.67
SolutoService;13;3.69
mozybackup;3;5
nmservice;5;4.6
RoxMediaDB11;1;1
PGPserv;2;5
WindowBlinds;8;4.25
PSIMSVC;3;5
WDSC;3;2.67
9734BF6A-2DCD-40f0-BAB0-5AAFEEBE1269;3;4
PSPRSERV;1;5
drwupgrade;1;5
avgfws;28;4.39
CTDevice_Srv;1;1
wlcrasvc;24;3.58
GbpSv;15;1.53
dgdersvc;6;3
WMZuneComm;3;3.67
AHDDC2;65;4.32
LoClntService;4;4
ZillyaAVAuxSvc;2;2
ZillyaAVCoreSvc;2;2
HardDiskSentinelService;2;4
DsiWMIService;6;3
WTGService;4;1.75
avgwd;40;3.85
OpcEnum;1;1
Adobe Version Cue CS4;2;3
LENOVO.CAMMUTE;2;4
LexBceS;2;2.5
WMCoreService;1;5
LVPrcSrv;2;3
TeamViewer6;16;3.94
AODService;6;3.83
NTIBackupSvc;4;1.25
ATKFUSService;2;5
NTISchedulerSvc;2;2
VC10SecS;4;4.25
ubsvcgd;1;1
Fastfat;2;1
AppleChargerSrv;4;4.25
GS In-Game Service;1;1
ETService;4;3
PPService;1;3
AdaptecStorageManagerAgent;2;5
PDEngine;21;4.9
QipGuard;1;1
DokanMounter;5;2.2
NMSAccess;1;3
SoundMAX Agent Service (default);3;2.33
ScsiAccess;1;2
TOSHIBA Bluetooth Service;6;3.67
DBService;11;1.82
TsUsbFlt;66;2.11
6to4;3;3.67
Tekla Structures Licensing Service;1;4
iprip;7;3
CaCCProvSP;1;2
NDProxy;368;1.98
ICBC Daemon Service;2;2
RichVideo64;9;3.11
Canon Driver Information Assist Service;3;2
HDDlife HDD Access service;3;3.67
XS Stick Service;1;5
NitroReaderDriverReadSpool;2;2
HP Wireless Assistant Service;4;3.25
Windows7FirewallService;7;4.71
Smart TimeLock;4;2
Hamachi2Svc;15;4.2
SampleCollector;1;5
TosCoSrv;2;4
postgresql-8.4;2;3
TVSched;3;1.33
SPTISRV;2;2
RServer3;6;4.33
Prosieben;2;4
EPSONStatusAgent2;1;5
GDScan;27;4.81
AMD Reservation Manager;4;4.25
MSSQLServerADHelper100;6;1.5
tvnserver;5;4
DCService.exe;7;3
EATON Service module;1;4
Marvell RAID;2;3
jswpsapi;1;1
VSNService;1;4
Adobe Version Cue CS2;3;2.67
TMachInfo;2;0
Bluetooth OBEX Service;4;2.75
Capture Device Service;3;1
WebrootSpySweeperService;1;1
ClientService;7;3.43
MMS;4;4.5
DSClockSyncTime;1;4
GEST Service;1;1
DLSProvider;1;1
moohelp;1;1
Samsung UPD Service;4;3.5
vpnagent;4;2.75
SymSnapService;1;1
IntuitUpdateService;2;2
0290211289865744mcinstcleanup;1;4
McNASvc;4;3.75
McProxy;5;2.8
McODS;5;3.8
McSysmon;1;3
SRSHDAudioService;8;5
GREGService;4;2
McMPFSvc;7;3.71
MyWiFiDHCPDNS;4;4
HPDrvMntSvc.exe;7;3.57
MSSQL$PINNACLESYS;1;4
BUNAgentSvc;1;1
GreenPrint;1;5
exfat;2;4
Suite Service;2;0
TNaviSrv;1;1
AVPlayerUpdater;1;5
CPUCooLServer;2;4.5
AntiVirScheduler;3;3
Intel(R) PROSet Monitoring Service;5;3.6
Speed Disk service;1;1
Creative Dolby Digital Live Pack Licensing Service;1;4
Vcsw;1;2
MGE Service module;1;4
a2AntiDialer;2;3.5
Connectify;16;4.69
NisSrv;11;3.27
TabletServiceWacom;5;5
aswNdis2;1;5
DisplayLinkService;3;3.67
brmfrmps;1;1
NfsClnt;4;2.75
VAIO Event Service;3;3
RoxLiveShare9;1;3
UPDATESRV;32;4.22
Secunia Update Agent;8;3.75
JetDrive WindowsClosingService;5;4.4
MSCSPTISRV;1;1
ac.sharedstore;2;1.5
ocster_backup;8;4.13
RoxWatch9;1;3
DvmMDES;2;2.5
BBSvc;32;2.31
ZuneWlanCfgSvc;3;2
ssidrv;1;2
lxdn_device;2;2
WO_LiveService;141;4.21
Bandoo Coordinator;2;1
pdfcDispatcher;3;4.33
ScrybeUpdater;1;2
Micro Star SCM;3;3
Steganos Volatile Disk;2;4.5
ImeDictUpdateService;1;1
BsHelpCS;3;2.33
Bluetooth Device Manager;3;4
AMD FUEL Service;28;4.18
LCS;1;5
RoxMediaDB13;3;3
DFServ;4;4
bowser;26;1.19
Update Server;5;3
AntiARPClientLoader;1;-1
DAUpdaterSvc;1;4
o2flash;3;2.67
WINZIPSSDiskOptimizer;1;1
NeroMediaHomeService.4;4;2.75
Secunia PSI Agent;16;3.94
XLDoctor Service;1;1
USBWaechter;1;5
MobilityService;3;1.33
omniserv;5;4.6
NeroRegInCDSrv;3;2.67
mfefire;29;1.55
PAVFNSVR;4;5
SynoDrService;1;4
CobianBackup10;2;4
COSService.exe;2;4.5
SynchronizationService.exe;2;3
TPCHSrv;2;2
Start BT in service;2;3
SetupARService;1;1
ZentimoService;12;4.92
OO DiskImage;8;4.5
OODefrag;1;5
AVerScheduleService;5;3.6
URadioServer;1;1
SNDSrvc;1;5
ccProxy;1;5
Symantec AntiVirus;3;5
NTI BackupNowEZSvr;1;4
Paragon System Backup Dienst;3;4.33
MSSQLSERVER;5;3.8
spldr;1;2
nvUpdatusService;36;2.94
SgtSch2Svc;2;1
gupdatem;60;2.38
DefragFS;1;1
BITCOMET_HELPER_SERVICE;8;4.38
Tweak7SystemService;1;5
CLHNServiceForPowerDVD;3;3
Symantec System Recovery;1;5
QDLService2kAD;1;1
DF5Serv;1;5
Serviio;4;4
AdvancedSystemCareService;26;3.81
vcsFPService;3;4.67
NOBU;4;2
!SASCORE;11;3.91
LiebertM;1;3
StkSSrv;1;5
UMVPFSrv;5;3.8
K7EmlPxy;1;5
K7FWSrvc;1;5
K7PSSrvc;1;5
K7RTScan;1;5
K7SpmSrc;1;3
K7TSMngr;1;5
WTouchService;2;3
GoogleIMEJaCacheService;2;4.5
Belkin 54Mbps Wireless USB;1;5
BsBrowser;1;3
BsFire;3;4
BsMain;4;3.25
Mamutu;5;4.6
GsServer;7;4.86
FTRTSVC;2;2
PWServer;1;5
SentinelSecurityRuntime;1;5
ASDiscoverySvc;1;4
ASDBEngine;1;4
ASJobEngine;1;4
ASMsgEngine;1;3
Cheyenne Alert Notification Server;1;3
LogWatch;1;1
wampmysqld;3;4.67
wampapache;4;4.5
Vivotek_ST3402;1;4
EsetUninstaller;1;3
Wcmsvc;10;2.9
CyberLink PowerDVD 11.0 Monitor Service;3;3.33
SCVSSService;3;4.33
AtherosSvc;11;4.18
ESHASRV;2;5
srvnet40.exe;1;5
AdobeARMservice;262;2.66
HPWMISVC;4;4.75
Futuremark SystemInfo Service;12;3.5
GamesAppService;2;4
AMOptimalDiskService;2;2
DevoloNetworkService;4;4.75
MlVTMSS;1;4
F-Secure Gatekeeper Handler Starter;4;5
UnsignedThemes;6;3.17
F-Secure Network Request Broker;2;5
avast! Net Client Service;1;5
HDD & SSD access service;1;5
Brother XP spl Service;9;2.56
eLoggerSvc6;2;5
NNFSVC;1;5
Norman NJeeves;2;5
NVOY;1;5
nsesvc;2;5
NPROSECSVC;1;5
nvcoas;2;5
Norman ZANDA;3;3.33
AMService;1;3
iReboot;1;5
WMSVC;5;3.8
Agile1Password;5;4.6
WinVNC4;5;4.6
WefiEngSvc;2;3.5
bgsvcg;1;5
DMDefragService;2;2
3CXConferenceRoom;1;5
ACT2_Service;29;4.14
DeltaCopyService;1;5
EchoVNC WindowsService;1;5
uvnc_service;3;5
NitroDriverReadSpool;6;4.67
NitroReaderDriverReadSpool2;4;4
AnvirRun;1;5
Soda PDF Helper Service;1;1
DXPNetworkSecurityService;1;4
LPDSVC;7;3.86
RoxMediaDB10;1;2
ASBroker;1;2
ASChannel;1;2
HP ProtectTools Service;2;3
gupdate1ca978c4e900e9a;1;3
HPFSService;1;2
HpFkCryptService;1;2
accoca;1;2
PSHost;3;5
PAVSRV;2;5
PskSvcRetail;2;5
Panda Software Controller;2;5
TPSrv;2;5
nwtsrv;1;4
MegaFon Modem. RunOuc;3;3.67
PassThru Service;5;4.6
RoxLiveShare11;1;1
MCLIENT;4;5
RoxWatch11;1;1
SandraAgentSrv;6;2.33
KSafeSvc;4;4.5
HerculesDJControlMP3;3;4
Frost_4_7_0_1;1;5
TOSHIBA eco Utility Service;2;4.5
SpyEmrgSrv;1;4
StarMoney 8.0 OnlineUpdate;9;4.33
Lexware_Datenbank_Plus;3;4
BCWipeSvc;1;5
USBDLM;3;3.67
SystemSuite Task Manager;1;4
TSNxGService;8;4.63
EaseUS Agent;6;3.67
WDBtnMgrSvc.exe;1;4
DMS;2;4
AcronisAgent;2;4
FreemakeUtilsService;2;5
hpCMSrv;3;3.67
HP Power Assistant Service;1;2
HmsService;2;5
SMTPSVC;1;3
